book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
The Good Earth (House of Earth  #1)	,  The Hunger Games (The Hunger Games  #1) - 71.72, The Help - 77.43, The Book Thief - 65.79, Catching Fire (The Hunger Games  #2) - 56.86, To Kill a Mockingbird - 56.01, Water for Elephants - 53.57, The Girl with the Dragon Tattoo (Millennium  #1) - 48.10, The Great Gatsby - 40.43, Twilight (Twilight  #1) - 41.45, The Glass Castle - 43.85 
The Good Guy	,  The Hunger Games (The Hunger Games  #1) - 68.55, The Book Thief - 32.15, The Girl with the Dragon Tattoo (Millennium  #1) - 32.15, Twilight (Twilight  #1) - 31.55, The Husband - 32.10, Water for Elephants - 22.63, Catching Fire (The Hunger Games  #2) - 18.97, Odd Thomas (Odd Thomas  #1) - 14.00, Breathless - 11.79, The Giver (The Giver  #1) - 10.45 
The Good Thief	,  The Hunger Games (The Hunger Games  #1) - 66.48, The Help - 60.37, Catching Fire (The Hunger Games  #2) - 51.64, The Book Thief - 48.31, The Immortal Life of Henrietta Lacks - 31.47, The Brief Wondrous Life of Oscar Wao - 26.30, The Girl with the Dragon Tattoo (Millennium  #1) - 27.08, The Guernsey Literary and Potato Peel Pie Society - 25.69, Twilight (Twilight  #1) - 24.90, To Kill a Mockingbird - 18.94 
The Goose Girl (The Books of Bayern  #1)	,  The Hunger Games (The Hunger Games  #1) - 82.50, Catching Fire (The Hunger Games  #2) - 65.55, The Book Thief - 52.40, The Help - 49.54, The Guernsey Literary and Potato Peel Pie Society - 45.26, Graceling (Graceling Realm  #1) - 44.92, Twilight (Twilight  #1) - 42.41, The Giver (The Giver  #1) - 43.50, Princess Academy (Princess Academy  #1) - 44.89, Enna Burning (The Books of Bayern  #2) - 44.39 
The Grand Sophy	,  The Help - 77.78, The Hunger Games (The Hunger Games  #1) - 69.47, The Guernsey Literary and Potato Peel Pie Society - 64.78, Frederica - 54.41, The Book Thief - 47.77, Soulless (Parasol Protectorate  #1) - 44.59, Austenland (Austenland  #1) - 43.77, Pride and Prejudice - 38.84, Catching Fire (The Hunger Games  #2) - 34.38, Twilight (Twilight  #1) - 38.78 
The Grapes of Wrath	,  The Hunger Games (The Hunger Games  #1) - 74.55, The Great Gatsby - 60.75, The Help - 60.22, The Book Thief - 59.12, The Catcher in the Rye - 56.15, Of Mice and Men - 55.96, The Road - 51.43, To Kill a Mockingbird - 50.89, 1984 - 47.36, Catching Fire (The Hunger Games  #2) - 47.14 
The Graveyard Book	,  The Hunger Games (The Hunger Games  #1) - 78.67, Catching Fire (The Hunger Games  #2) - 61.27, The Book Thief - 57.86, The Help - 43.29, Coraline - 42.55, The Girl with the Dragon Tattoo (Millennium  #1) - 38.59, The Giver (The Giver  #1) - 36.35, Twilight (Twilight  #1) - 35.22, The Lightning Thief (Percy Jackson and the Olympians  #1) - 36.25, American Gods (American Gods  #1) - 37.28 
The Great Divorce	,  The Book Thief - 69.89, The Hunger Games (The Hunger Games  #1) - 58.22, The Great Gatsby - 48.72, The Guernsey Literary and Potato Peel Pie Society - 37.64, Ender's Game (Ender's Saga  #1) - 35.42, Catching Fire (The Hunger Games  #2) - 34.96, Mere Christianity - 39.51, The Giver (The Giver  #1) - 27.58, Life of Pi - 30.77, 1984 - 29.14 
The Great Gatsby	,  The Hunger Games (The Hunger Games  #1) - 70.70, Catching Fire (The Hunger Games  #2) - 57.49, The Book Thief - 56.88, To Kill a Mockingbird - 54.58, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 44.85, The Catcher in the Rye - 44.55, 1984 - 40.68, The Perks of Being a Wallflower - 41.78, The Help - 39.76, Pride and Prejudice - 38.16 
The Great Hunt (Wheel of Time  #2)	,  The Eye of the World (Wheel of Time  #1) - 81.01, The Dragon Reborn (Wheel of Time  #3) - 59.37, The Shadow Rising (Wheel of Time  #4) - 42.68, Lord of Chaos (Wheel of Time  #6) - 33.85, The Name of the Wind (The Kingkiller Chronicle  #1) - 28.03, A Crown of Swords (Wheel of Time  #7) - 26.68, The Fires of Heaven (Wheel of Time  #5) - 26.32, The Hunger Games (The Hunger Games  #1) - 25.39, The Final Empire (Mistborn  #1) - 23.91, The Gathering Storm (Wheel of Time  #12) - 24.33 
The Great Influenza: The Story of the Deadliest Pandemic in History	,  The Help - 59.52, The Hunger Games (The Hunger Games  #1) - 49.58, The Devil in the White City: Murder - Magic - and Madness at the Fair That Changed America - 47.64, The Book Thief - 32.03, The Curious Incident of the Dog in the Night-Time - 29.33, The Ghost Map: The Story of London's Most Terrifying Epidemic - and How It Changed Science - Cities - and the Modern World - 29.33, To Kill a Mockingbird - 27.33, The Girl with the Dragon Tattoo (Millennium  #1) - 25.33, Catching Fire (The Hunger Games  #2) - 20.36, The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl - 7.92 
The Greatest Show on Earth: The Evidence for Evolution	,  The God Delusion - 80.68, A Game of Thrones (A Song of Ice and Fire  #1) - 44.92, Cloud Atlas - 22.89, The Book Thief - 22.89, The Hunger Games (The Hunger Games  #1) - 20.94, The Girl with the Dragon Tattoo (Millennium  #1) - 13.64, The Selfish Gene - 7.58, A Feast for Crows (A Song of Ice and Fire  #4) - 0.00, The Handmaid's Tale - 0.00, The Catcher in the Rye - 0.00 
The Green Mile	,  The Stand - 95.59, It - 92.16, The Shining - 90.20, The Hunger Games (The Hunger Games  #1) - 81.91, Misery - 72.66, Twilight (Twilight  #1) - 70.70, 'Salem's Lot - 65.06, Catching Fire (The Hunger Games  #2) - 63.72, The Great Gatsby - 61.28, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 58.62 
The Grim Grotto (A Series of Unfortunate Events  #11)	,  The Penultimate Peril (A Series of Unfortunate Events  #12) - 73.06, The End (A Series of Unfortunate Events  #13) - 71.43, The Carnivorous Carnival (A Series of Unfortunate Events  #9) - 63.07, The Austere Academy (A Series of Unfortunate Events  #5) - 63.82, The Bad Beginning (A Series of Unfortunate Events  #1) - 61.72, The Slippery Slope (A Series of Unfortunate Events  #10) - 58.91, The Miserable Mill (A Series of Unfortunate Events  #4) - 60.22, The Ersatz Elevator (A Series of Unfortunate Events  #6) - 59.88, The Vile Village (A Series of Unfortunate Events  #7) - 54.03, The Wide Window (A Series of Unfortunate Events  #3) - 51.82 
The Grimm Legacy (The Grimm Legacy  #1)	,  The Hunger Games (The Hunger Games  #1) - 64.29, The Maze Runner (Maze Runner  #1) - 49.40, Catching Fire (The Hunger Games  #2) - 47.51, The Book Thief - 35.88, The Graveyard Book - 35.90, If I Stay (If I Stay  #1) - 31.77, When You Reach Me - 28.62, Twilight (Twilight  #1) - 28.21, City of Bones (The Mortal Instruments  #1) - 28.21, The Help - 26.60 
The Guardian	,  The Hunger Games (The Hunger Games  #1) - 70.09, Twilight (Twilight  #1) - 57.73, The Wedding (The Notebook  #2) - 65.10, A Walk to Remember - 61.29, The Help - 57.07, New Moon (Twilight  #2) - 47.92, Dear John - 52.92, The Lucky One - 49.61, The Last Song - 52.03, Catching Fire (The Hunger Games  #2) - 50.41 
The Guernsey Literary and Potato Peel Pie Society	,  The Help - 80.73, The Hunger Games (The Hunger Games  #1) - 77.33, The Book Thief - 75.94, The Girl with the Dragon Tattoo (Millennium  #1) - 60.74, Catching Fire (The Hunger Games  #2) - 56.16, Water for Elephants - 52.66, The Glass Castle - 40.87, Twilight (Twilight  #1) - 40.40, The Time Traveler's Wife - 37.62, The Immortal Life of Henrietta Lacks - 35.49 
The Guinea Pig Diaries: My Life as an Experiment	,  The Hunger Games (The Hunger Games  #1) - 66.18, The Help - 51.28, Catching Fire (The Hunger Games  #2) - 47.67, The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible - 44.52, The Book Thief - 35.33, The Girl with the Dragon Tattoo (Millennium  #1) - 32.33, The Guernsey Literary and Potato Peel Pie Society - 31.76, The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World - 32.07, The Art of Racing in the Rain - 30.02, The Graveyard Book - 25.92 
The Gun Seller	,  The Girl with the Dragon Tattoo (Millennium  #1) - 68.75, Catching Fire (The Hunger Games  #2) - 64.58, The Hunger Games (The Hunger Games  #1) - 62.50, The Book Thief - 48.54, The Help - 43.95, The Girl Who Played with Fire (Millennium  #2) - 47.60, The Magicians (The Magicians #1) - 39.81, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 37.39, The Great Gatsby - 34.40, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) - 33.65 
The Guns of August	,  The Hunger Games (The Hunger Games  #1) - 77.38, The Book Thief - 39.06, A Distant Mirror:  The Calamitous 14th Century - 36.67, The Road - 32.67, The Girl with the Dragon Tattoo (Millennium  #1) - 28.67, Brave New World - 28.00, 1984 - 23.04, The Kite Runner - 22.50, A Game of Thrones (A Song of Ice and Fire  #1) - 22.50, The Great Gatsby - 20.89 
The Gunslinger	,  The Drawing of the Three - 70.80, The Hunger Games (The Hunger Games  #1) - 54.59, A Game of Thrones (A Song of Ice and Fire  #1) - 45.35, The Waste Lands - 46.26, Catching Fire (The Hunger Games  #2) - 34.98, The Name of the Wind (The Kingkiller Chronicle  #1) - 31.24, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 30.53, The Stand - 29.75, The Girl with the Dragon Tattoo (Millennium  #1) - 28.09, American Gods (American Gods  #1) - 29.14 
The Halloween Tree	,  The Hunger Games (The Hunger Games  #1) - 66.03, The Graveyard Book - 57.55, The Book Thief - 54.17, Catching Fire (The Hunger Games  #2) - 46.66, The Magicians (The Magicians #1) - 42.86, The Help - 35.02, The Hobbit - 35.02, We Have Always Lived in the Castle - 32.89, The Great Gatsby - 30.75, To Kill a Mockingbird - 28.88 
The Handmaid's Tale	,  The Book Thief - 75.24, The Hunger Games (The Hunger Games  #1) - 76.82, Catching Fire (The Hunger Games  #2) - 60.98, The Help - 45.61, The Giver (The Giver  #1) - 43.46, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 42.36, The Girl with the Dragon Tattoo (Millennium  #1) - 42.02, Twilight (Twilight  #1) - 42.82, The Great Gatsby - 41.66, To Kill a Mockingbird - 41.03 
The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer	,  The Help - 75.00, The Hunger Games (The Hunger Games  #1) - 64.39, The Guernsey Literary and Potato Peel Pie Society - 55.55, The Book Thief - 49.43, Catching Fire (The Hunger Games  #2) - 35.12, Water for Elephants - 22.85, Twilight (Twilight  #1) - 20.74, The Time Traveler's Wife - 18.36, Life of Pi - 14.67, Breaking Dawn (Twilight  #4) - 14.67 
The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning - Clean My Closets - Fight Right - Read Aristotle - and Generally Have More Fun	,  The Hunger Games (The Hunger Games  #1) - 63.61, The Help - 58.97, The Book Thief - 49.43, Catching Fire (The Hunger Games  #2) - 48.59, The Guernsey Literary and Potato Peel Pie Society - 46.14, Eat - Pray - Love - 35.45, The Immortal Life of Henrietta Lacks - 33.61, The Girl with the Dragon Tattoo (Millennium  #1) - 35.59, Water for Elephants - 26.49, The Glass Castle - 27.62 
The Hard Goodbye (Sin City #1)	,  The Hunger Games (The Hunger Games  #1) - 75.00, Watchmen - 53.97, Batman: The Killing Joke - 49.50, Catching Fire (The Hunger Games  #2) - 41.25, A Game of Thrones (A Song of Ice and Fire  #1) - 40.70, The Girl with the Dragon Tattoo (Millennium  #1) - 38.24, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 24.00, Batman: The Dark Knight Returns (The Dark Knight Saga  #1) - 22.22, The Walking Dead - Vol. 01: Days Gone Bye - 21.78, The Magicians (The Magicians #1) - 21.33 
The Hard Way (Jack Reacher  #10)	,  One Shot (Jack Reacher  #9) - 74.18, Killing Floor (Jack Reacher  #1) - 66.70, Bad Luck and Trouble (Jack Reacher  #11) - 63.47, Gone Tomorrow (Jack Reacher  #13) - 63.47, The Enemy (Jack Reacher  #8) - 58.55, Die Trying (Jack Reacher  #2) - 57.42, 61 Hours (Jack Reacher  #14) - 57.04, Persuader (Jack Reacher  #7) - 53.62, Running Blind (Jack Reacher  #4) - 47.63, Nothing to Lose (Jack Reacher  #12) - 46.04 
The Harlequin (Anita Blake - Vampire Hunter #15)	,  Micah (Anita Blake - Vampire Hunter  #13) - 68.60, Cerulean Sins (Anita Blake - Vampire Hunter  #11) - 62.82, Incubus Dreams (Anita Blake - Vampire Hunter  #12) - 57.78, Blood Noir (Anita Blake - Vampire Hunter #16) - 52.09, Bullet (Anita Blake - Vampire Hunter #19) - 50.74, Obsidian Butterfly (Anita Blake - Vampire Hunter  #9) - 46.87, Skin Trade (Anita Blake - Vampire Hunter #17) - 48.71, Guilty Pleasures (Anita Blake - Vampire Hunter  #1) - 45.63, Danse Macabre (Anita Blake - Vampire Hunter  #14) - 44.09, Narcissus in Chains (Anita Blake - Vampire Hunter  #10) - 38.80 
The Haunting of Hill House	,  The Hunger Games (The Hunger Games  #1) - 67.74, We Have Always Lived in the Castle - 74.79, Catching Fire (The Hunger Games  #2) - 53.88, The Book Thief - 45.09, The Handmaid's Tale - 46.85, The Help - 36.57, Never Let Me Go - 33.68, The Giver (The Giver  #1) - 33.56, The Graveyard Book - 32.79, A Game of Thrones (A Song of Ice and Fire  #1) - 32.40 
The Heart is a Lonely Hunter	,  The Book Thief - 73.94, The Help - 52.57, The Hunger Games (The Hunger Games  #1) - 50.34, To Kill a Mockingbird - 57.40, The Girl with the Dragon Tattoo (Millennium  #1) - 54.08, The Handmaid's Tale - 50.19, Water for Elephants - 44.91, The Road - 47.21, The Immortal Life of Henrietta Lacks - 41.43, Catching Fire (The Hunger Games  #2) - 42.80 
The Hellbound Heart	,  The Hunger Games (The Hunger Games  #1) - 67.50, American Gods (American Gods  #1) - 40.80, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 39.93, Animal Farm - 36.46, Heart-Shaped Box - 23.81, The Shining - 23.21, Ender's Game (Ender's Saga  #1) - 21.43, It - 14.53, The Handmaid's Tale - 14.53, A Game of Thrones (A Song of Ice and Fire  #1) - 11.97 
The Help	,  The Hunger Games (The Hunger Games  #1) - 86.34, The Book Thief - 63.06, Catching Fire (The Hunger Games  #2) - 62.17, The Girl with the Dragon Tattoo (Millennium  #1) - 51.41, Water for Elephants - 49.18, The Guernsey Literary and Potato Peel Pie Society - 44.57, Twilight (Twilight  #1) - 39.32, Eat - Pray - Love - 31.93, The Glass Castle - 30.62, To Kill a Mockingbird - 29.85 
The Heretic Queen	,  Nefertiti - 80.23, The Hunger Games (The Hunger Games  #1) - 55.72, Catching Fire (The Hunger Games  #2) - 52.32, The Book Thief - 31.74, The Help - 29.35, Outlander (Outlander  #1) - 20.74, Cleopatra's Daughter - 22.37, Dark Places - 17.01, Water for Elephants - 16.71, The Guernsey Literary and Potato Peel Pie Society - 15.49 
The Heretic's Daughter	,  The Hunger Games (The Hunger Games  #1) - 66.77, The Help - 63.37, Catching Fire (The Hunger Games  #2) - 47.14, The Guernsey Literary and Potato Peel Pie Society - 45.00, The Book Thief - 42.65, The Girl with the Dragon Tattoo (Millennium  #1) - 42.10, The Immortal Life of Henrietta Lacks - 35.99, Sarah's Key - 31.61, Water for Elephants - 28.49, The Glass Castle - 30.13 
The Hero With a Thousand Faces	,  The Alchemist - 82.35, The Hunger Games (The Hunger Games  #1) - 53.38, The Road - 41.97, The Kite Runner - 26.92, American Gods (American Gods  #1) - 21.15, 1984 - 19.87, The Hobbit - 12.50, The Handmaid's Tale - 11.11, The Catcher in the Rye - 0.00, Brave New World - 0.00 
The Hero and the Crown (Damar  #2)	,  The Hunger Games (The Hunger Games  #1) - 78.00, Catching Fire (The Hunger Games  #2) - 59.63, The Blue Sword (Damar  #1) - 48.13, The Graveyard Book - 38.88, Graceling (Graceling Realm  #1) - 36.54, Twilight (Twilight  #1) - 36.21, The Giver (The Giver  #1) - 32.69, The Book Thief - 32.30, Sunshine - 33.65, Fire (Graceling Realm  #2) - 30.70 
The Hero of Ages (Mistborn  #3)	,  The Final Empire (Mistborn  #1) - 88.40, The Well of Ascension (Mistborn  #2) - 88.22, The Name of the Wind (The Kingkiller Chronicle  #1) - 35.70, The Hunger Games (The Hunger Games  #1) - 23.21, The Wise Man's Fear (The Kingkiller Chronicle  #2) - 22.43, Elantris (Elantris  #1) - 22.36, The Lies of Locke Lamora (Gentleman Bastard  #1) - 18.23, Catching Fire (The Hunger Games  #2) - 17.02, A Game of Thrones (A Song of Ice and Fire  #1) - 16.81, The Book Thief - 16.20 
The Heroin Diaries: A Year In The Life Of A Shattered Rock Star	,  The Hunger Games (The Hunger Games  #1) - 84.52, Twilight (Twilight  #1) - 61.88, The Dirt: Confessions of the World's Most Notorious Rock Band - 62.10, Water for Elephants - 21.96, Catching Fire (The Hunger Games  #2) - 20.36, The Girl with the Dragon Tattoo (Millennium  #1) - 19.82, The Great Gatsby - 12.69, The Perks of Being a Wallflower - 7.92, The Help - 7.71, Animal Farm - 6.46 
The Hidden Staircase (Nancy Drew #2)	,  The Secret of the Old Clock (Nancy Drew  #1) - 73.28, Catching Fire (The Hunger Games  #2) - 38.89, Twilight (Twilight  #1) - 37.70, The Hunger Games (The Hunger Games  #1) - 35.06, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 25.39, To Kill a Mockingbird - 21.61, City of Bones (The Mortal Instruments  #1) - 22.06, The Lightning Thief (Percy Jackson and the Olympians  #1) - 14.82, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 14.44, The Graveyard Book - 14.07 
The Hiding Place: The Triumphant True Story of Corrie Ten Boom	,  The Hunger Games (The Hunger Games  #1) - 91.86, The Help - 87.16, The Book Thief - 69.21, The Guernsey Literary and Potato Peel Pie Society - 65.97, Catching Fire (The Hunger Games  #2) - 59.93, The Giver (The Giver  #1) - 55.91, Twilight (Twilight  #1) - 42.86, The Host (The Host  #1) - 39.79, To Kill a Mockingbird - 38.45, Ender's Game (Ender's Saga  #1) - 36.66 
The High Lord (Black Magician Trilogy  #3)	,  The Novice (Black Magician Trilogy  #2) - 79.92, The Magicians' Guild (Black Magician Trilogy  #1) - 75.04, The Hunger Games (The Hunger Games  #1) - 18.96, The Name of the Wind (The Kingkiller Chronicle  #1) - 12.99, Catching Fire (The Hunger Games  #2) - 10.72, City of Bones (The Mortal Instruments  #1) - 6.06, The Final Empire (Mistborn  #1) - 2.73, The Well of Ascension (Mistborn  #2) - 2.59, Poison Study (Study  #1) - 2.59, The Wise Man's Fear (The Kingkiller Chronicle  #2) - 1.36 
The Higher Power of Lucky (The Hard Pan Trilogy  #1)	,  The Book Thief - 63.27, When You Reach Me - 55.81, The Graveyard Book - 54.39, The Hunger Games (The Hunger Games  #1) - 50.06, Twilight (Twilight  #1) - 44.88, The Lightning Thief (Percy Jackson and the Olympians  #1) - 36.54, Catching Fire (The Hunger Games  #2) - 37.83, The Absolutely True Diary of a Part-Time Indian - 37.13, Paper Towns - 32.67, The Help - 29.40 
The Highlander's Touch (Highlander  #3)	,  Beyond the Highland Mist (Highlander  #1) - 73.31, Kiss of the Highlander (Highlander  #4) - 63.65, To Tame a Highland Warrior (Highlander  #2) - 55.05, The Dark Highlander (Highlander  #5) - 46.90, Darkfever (Fever  #1) - 46.90, Dark Lover (Black Dagger Brotherhood  #1) - 34.88, The Immortal Highlander (Highlander  #6) - 34.17, Dreamfever (Fever  #4) - 28.90, Spell of the Highlander (Highlander  #7) - 27.51, Lover Awakened (Black Dagger Brotherhood  #3) - 26.56 
The Historian	,  The Hunger Games (The Hunger Games  #1) - 58.59, Catching Fire (The Hunger Games  #2) - 44.14, The Girl with the Dragon Tattoo (Millennium  #1) - 41.98, The Book Thief - 39.92, Twilight (Twilight  #1) - 41.55, The Help - 34.43, The Guernsey Literary and Potato Peel Pie Society - 34.01, The Time Traveler's Wife - 30.90, Outlander (Outlander  #1) - 30.25, City of Bones (The Mortal Instruments  #1) - 29.04 
The History of Love	,  The Book Thief - 70.42, The Hunger Games (The Hunger Games  #1) - 65.74, The Help - 56.40, The Girl with the Dragon Tattoo (Millennium  #1) - 55.94, Catching Fire (The Hunger Games  #2) - 49.31, Twilight (Twilight  #1) - 39.85, Water for Elephants - 39.91, The Guernsey Literary and Potato Peel Pie Society - 39.84, Extremely Loud and Incredibly Close - 38.26, Olive Kitteridge - 36.33 
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)	,  The Hunger Games (The Hunger Games  #1) - 70.72, The Book Thief - 55.85, Catching Fire (The Hunger Games  #2) - 54.59, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 52.58, A Game of Thrones (A Song of Ice and Fire  #1) - 45.99, The Great Gatsby - 40.89, 1984 - 43.77, Ender's Game (Ender's Saga  #1) - 41.05, The Handmaid's Tale - 41.25, The Restaurant at the End of the Universe (Hitchhiker's Guide  #2) - 48.85 
The Hobbit	,  The Hunger Games (The Hunger Games  #1) - 80.61, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 59.81, Catching Fire (The Hunger Games  #2) - 56.32, The Book Thief - 50.71, A Game of Thrones (A Song of Ice and Fire  #1) - 49.46, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 46.81, To Kill a Mockingbird - 45.00, The Giver (The Giver  #1) - 45.06, The Fellowship of the Ring (The Lord of the Rings  #1) - 46.11, Twilight (Twilight  #1) - 39.13 
The Hollow (Sign of Seven  #2)	,  Blood Brothers (Sign of Seven  #1) - 74.66, The Pagan Stone (Sign of Seven  #3) - 55.86, The Hunger Games (The Hunger Games  #1) - 30.67, Twilight (Twilight  #1) - 22.78, Catching Fire (The Hunger Games  #2) - 22.37, Breaking Dawn (Twilight  #4) - 20.44, Eclipse (Twilight  #3) - 18.58, The Help - 13.54, Bed of Roses (Bride Quartet  #2) - 12.42, New Moon (Twilight  #2) - 12.90 
The Hollow (The Hollow  #1)	,  Hush - Hush (Hush - Hush  #1) - 58.77, The Hunger Games (The Hunger Games  #1) - 51.42, Shiver (The Wolves of Mercy Falls  #1) - 49.71, City of Bones (The Mortal Instruments  #1) - 45.70, Beautiful Creatures (Caster Chronicles  #1) - 36.98, Hex Hall (Hex Hall  #1) - 39.01, Need (Need  #1) - 35.91, Linger (The Wolves of Mercy Falls  #2) - 35.91, City of Ashes (The Mortal Instruments  #2) - 38.19, Firelight (Firelight  #1) - 34.76 
The Horse Whisperer	,  Twilight (Twilight  #1) - 65.48, The Hunger Games (The Hunger Games  #1) - 49.50, Water for Elephants - 41.80, The Girl with the Dragon Tattoo (Millennium  #1) - 35.97, The Help - 34.41, The Guernsey Literary and Potato Peel Pie Society - 32.65, The Book Thief - 26.56, The Time Traveler's Wife - 26.56, The Catcher in the Rye - 23.44, Eat - Pray - Love - 24.67 
The Horse and His Boy (Chronicles of Narnia  #5)	,  The Magician's Nephew (Chronicles of Narnia  #6) - 75.17, The Lion - the Witch - and the Wardrobe (Chronicles of Narnia  #1) - 60.34, Prince Caspian (Chronicles of Narnia  #2) - 54.92, The Voyage of the Dawn Treader (Chronicles of Narnia  #3) - 54.14, The Silver Chair (Chronicles of Narnia  #4) - 52.61, The Last Battle (Chronicles of Narnia  #7) - 43.19, The Hunger Games (The Hunger Games  #1) - 39.60, Catching Fire (The Hunger Games  #2) - 35.74, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 27.98, The Book Thief - 23.42 
The Host (The Host  #1)	,  The Hunger Games (The Hunger Games  #1) - 73.39, Twilight (Twilight  #1) - 54.79, Catching Fire (The Hunger Games  #2) - 55.90, Breaking Dawn (Twilight  #4) - 48.95, City of Bones (The Mortal Instruments  #1) - 45.53, New Moon (Twilight  #2) - 37.60, The Book Thief - 32.41, Eclipse (Twilight  #3) - 33.14, The Help - 28.54, City of Ashes (The Mortal Instruments  #2) - 29.72 
The Hostile Hospital (A Series of Unfortunate Events  #8)	,  The Bad Beginning (A Series of Unfortunate Events  #1) - 74.23, The Carnivorous Carnival (A Series of Unfortunate Events  #9) - 69.77, The Ersatz Elevator (A Series of Unfortunate Events  #6) - 68.78, The End (A Series of Unfortunate Events  #13) - 70.07, The Vile Village (A Series of Unfortunate Events  #7) - 68.93, The Austere Academy (A Series of Unfortunate Events  #5) - 67.78, The Grim Grotto (A Series of Unfortunate Events  #11) - 62.65, The Miserable Mill (A Series of Unfortunate Events  #4) - 57.88, The Penultimate Peril (A Series of Unfortunate Events  #12) - 52.72, The Slippery Slope (A Series of Unfortunate Events  #10) - 48.39 
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus	,  The Hunger Games (The Hunger Games  #1) - 73.98, Catching Fire (The Hunger Games  #2) - 60.71, The Book Thief - 51.62, 1984 - 48.72, A Game of Thrones (A Song of Ice and Fire  #1) - 42.74, The Handmaid's Tale - 42.31, To Kill a Mockingbird - 41.59, The Glass Castle - 40.32, The Girl with the Dragon Tattoo (Millennium  #1) - 40.84, The Time Traveler's Wife - 34.35 
The Hound of the Baskervilles	,  The Hunger Games (The Hunger Games  #1) - 78.09, A Study in Scarlet - 66.04, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 55.08, The Sign of Four - 57.52, The Great Gatsby - 50.96, Catching Fire (The Hunger Games  #2) - 51.85, 1984 - 47.55, The Book Thief - 48.50, Pride and Prejudice - 47.19, To Kill a Mockingbird - 47.79 
The Hour I First Believed	,  The Help - 63.38, The Hunger Games (The Hunger Games  #1) - 52.14, The Girl with the Dragon Tattoo (Millennium  #1) - 45.31, The Guernsey Literary and Potato Peel Pie Society - 40.18, Water for Elephants - 38.73, The Book Thief - 40.09, Catching Fire (The Hunger Games  #2) - 37.74, The Glass Castle - 36.06, Sarah's Key - 34.46, The Art of Racing in the Rain - 34.06 
The Hourglass Door (Hourglass Door  #1)	,  The Hunger Games (The Hunger Games  #1) - 67.65, Catching Fire (The Hunger Games  #2) - 59.98, The Help - 46.67, The Host (The Host  #1) - 42.00, The Book Thief - 37.21, Graceling (Graceling Realm  #1) - 35.68, The Lightning Thief (Percy Jackson and the Olympians  #1) - 35.27, Shiver (The Wolves of Mercy Falls  #1) - 34.87, Breaking Dawn (Twilight  #4) - 33.36, Wings (Wings  #1) - 33.36 
The Hours	,  The Hunger Games (The Hunger Games  #1) - 66.20, The Handmaid's Tale - 66.32, The Book Thief - 51.49, The Guernsey Literary and Potato Peel Pie Society - 51.50, The Help - 45.94, The Girl with the Dragon Tattoo (Millennium  #1) - 45.52, To Kill a Mockingbird - 51.64, The Kite Runner - 35.14, Life of Pi - 42.80, Middlesex - 42.26 
The House at Riverton	,  The Forgotten Garden - 73.13, The Book Thief - 48.71, The Hunger Games (The Hunger Games  #1) - 47.09, The Help - 46.13, The Guernsey Literary and Potato Peel Pie Society - 41.55, The Thirteenth Tale - 38.79, The Distant Hours - 42.59, Catching Fire (The Hunger Games  #2) - 38.39, The Girl with the Dragon Tattoo (Millennium  #1) - 37.88, Sarah's Key - 30.03 
The House of Mirth	,  The Hunger Games (The Hunger Games  #1) - 68.64, The Great Gatsby - 51.12, The Book Thief - 46.00, To Kill a Mockingbird - 42.26, Catching Fire (The Hunger Games  #2) - 42.26, The Guernsey Literary and Potato Peel Pie Society - 43.67, The Handmaid's Tale - 37.69, The Age of Innocence - 42.15, Water for Elephants - 36.43, Never Let Me Go - 35.00 
The House of the Scorpion (Matteo Alacran  #1)	,  The Hunger Games (The Hunger Games  #1) - 76.65, The Maze Runner (Maze Runner  #1) - 52.89, Catching Fire (The Hunger Games  #2) - 50.16, The Book Thief - 48.04, The Graveyard Book - 37.32, Unwind (Unwind  #1) - 36.37, Looking for Alaska - 33.02, The Giver (The Giver  #1) - 31.61, Thirteen Reasons Why - 31.63, The Help - 28.98 
